"Census Profile, 2021 Census of Population"
,,,"Oshawa, City (CY) [Census subdivision], Ontario",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Household characteristics","Total - Private households by tenure - 25% sample data",50, 66630,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household characteristics","  Owner",, 42750,"",,"...",,"...",   64.2,"",,"...",,"...",
"Household characteristics","  Renter",, 23880,"",,"...",,"...",   35.8,"",,"...",,"...",
"Household characteristics","  Dwelling provided by the local government, First Nation or Indian band",,     0,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household characteristics","Total - Occupied private dwellings by condominium status - 25% sample data",51, 66630,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household characteristics","  Condominium",,  4770,"",,"...",,"...",    7.2,"",,"...",,"...",
"Household characteristics","  Not condominium",, 61865,"",,"...",,"...",   92.8,"",,"...",,"...",
"Household characteristics","Total - Occupied private dwellings by number of bedrooms - 25% sample data",52, 66630,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household characteristics","  No bedrooms",,   455,"",,"...",,"...",    0.7,"",,"...",,"...",
"Household characteristics","  1 bedroom",,  6740,"",,"...",,"...",   10.1,"",,"...",,"...",
"Household characteristics","  2 bedrooms",, 13395,"",,"...",,"...",   20.1,"",,"...",,"...",
"Household characteristics","  3 bedrooms",, 26810,"",,"...",,"...",   40.2,"",,"...",,"...",
"Household characteristics","  4 or more bedrooms",, 19240,"",,"...",,"...",   28.9,"",,"...",,"...",
"Household characteristics","Total - Occupied private dwellings by number of rooms - 25% sample data",53, 66630,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household characteristics","  1 to 4 rooms",, 15030,"",,"...",,"...",   22.6,"",,"...",,"...",
"Household characteristics","  5 rooms",, 10365,"",,"...",,"...",   15.6,"",,"...",,"...",
"Household characteristics","  6 rooms",, 11095,"",,"...",,"...",   16.7,"",,"...",,"...",
"Household characteristics","  7 rooms",,  9955,"",,"...",,"...",   14.9,"",,"...",,"...",
"Household characteristics","  8 or more rooms",, 20185,"",,"...",,"...",   30.3,"",,"...",,"...",
"Household characteristics","Average number of rooms per dwelling",,    6.4,"",,"...",,"...",    6.4,"",,"...",,"...",
"Household characteristics","Total - Private households by number of persons per room - 25% sample data",54, 66630,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household characteristics","  One person or fewer per room",, 65285,"",,"...",,"...",   98.0,"",,"...",,"...",
"Household characteristics","  More than one person per room",,  1350,"",,"...",,"...",    2.0,"",,"...",,"...",
"Household characteristics","Total - Private households by housing suitability - 25% sample data",55, 66630,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household characteristics","  Suitable",, 62575,"",,"...",,"...",   93.9,"",,"...",,"...",
"Household characteristics","  Not suitable",,  4060,"",,"...",,"...",    6.1,"",,"...",,"...",
"Household characteristics","Total - Occupied private dwellings by period of construction - 25% sample data",56, 66630,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household characteristics","  1960 or before",, 15700,"",,"...",,"...",   23.6,"",,"...",,"...",
"Household characteristics","  1961 to 1980",, 23330,"",,"...",,"...",   35.0,"",,"...",,"...",
"Household characteristics","  1981 to 1990",,  7925,"",,"...",,"...",   11.9,"",,"...",,"...",
"Household characteristics","  1991 to 2000",,  5425,"",,"...",,"...",    8.1,"",,"...",,"...",
"Household characteristics","  2001 to 2005",,  3135,"",,"...",,"...",    4.7,"",,"...",,"...",
"Household characteristics","  2006 to 2010",,  3680,"",,"...",,"...",    5.5,"",,"...",,"...",
"Household characteristics","  2011 to 2015",,  3325,"",,"...",,"...",    5.0,"",,"...",,"...",
"Household characteristics","  2016 to 2021",57,  4100,"",,"...",,"...",    6.2,"",,"...",,"...",
"Household characteristics","Total - Occupied private dwellings by dwelling condition - 25% sample data",58, 66630,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household characteristics","  Only regular maintenance and minor repairs needed",, 62465,"",,"...",,"...",   93.7,"",,"...",,"...",
"Household characteristics","  Major repairs needed",,  4170,"",,"...",,"...",    6.3,"",,"...",,"...",
"Household characteristics","Total - Private households by number of household maintainers - 25% sample data",59, 66630,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household characteristics","  One-maintainer household",, 33265,"",,"...",,"...",   49.9,"",,"...",,"...",
"Household characteristics","  Two-maintainer household",, 29045,"",,"...",,"...",   43.6,"",,"...",,"...",
"Household characteristics","  Three-or-more-maintainer household",,  4320,"",,"...",,"...",    6.5,"",,"...",,"...",
"Household characteristics","Total - Private households by age of primary household maintainers - 25% sample data",60, 66630,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household characteristics","  15 to 24 years",,  1400,"",,"...",,"...",    2.1,"",,"...",,"...",
"Household characteristics","  25 to 34 years",,  9225,"",,"...",,"...",   13.8,"",,"...",,"...",
"Household characteristics","  35 to 44 years",, 12245,"",,"...",,"...",   18.4,"",,"...",,"...",
"Household characteristics","  45 to 54 years",, 12245,"",,"...",,"...",   18.4,"",,"...",,"...",
"Household characteristics","  55 to 64 years",, 13825,"",,"...",,"...",   20.7,"",,"...",,"...",
"Household characteristics","  65 to 74 years",,  9845,"",,"...",,"...",   14.8,"",,"...",,"...",
"Household characteristics","  75 to 84 years",,  5500,"",,"...",,"...",    8.3,"",,"...",,"...",
"Household characteristics","  85 years and over",,  2350,"",,"...",,"...",    3.5,"",,"...",,"...",
