"Ontario — Rental Market Statistics Summary by Metropolitan Areas, Census Agglomerations and Cities"
October 2022 Row / Apartment Bedroom Type - Total
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
Arnprior,**,,**,,"1,027",b ,919,b ,**,,591,
Barrie,2.2,b ,**,,"1,484",a ,"1,443",a ,4.7,b ,"4,226",
Belleville,2.3,a ,**,,"1,234",a ,"1,200",a ,**,,"5,986",
Bracebridge T,**,,**,,"1,198",a ,"1,200",b ,**,,319,
Brantford,1.3,a ,**,,"1,246",a ,"1,200",a ,6.5,c ,"5,629",
Brighton MU,0.8,a ,**,,**,,**,,**,,184,
Brock TP,0.0,d ,**,,905,a ,850,a ,++,,102,
Brockville,2.3,b ,**,,"1,070",a ,"1,031",a ,10.9,d ,"2,200",
Carleton Place,**,,**,,998,b ,893,c ,**,,742,
Centre Wellington,2.3,b ,**,,"1,314",a ,"1,304",b ,12.8,d ,760,
Chatham-Kent,2.8,b ,**,,"1,034",a ,955,a ,**,,"5,126",
Cobourg,1.8,c ,**,,**,,"1,450",d ,11.7,d ,"1,166",
Collingwood,2.9,c ,**,,"1,235",a ,"1,150",a ,6.2,c ,562,
Cornwall,1.9,c ,**,,955,a ,925,a ,3.9,c ,"3,923",
Elliot Lake,1.9,a ,**,,757,a ,750,a ,**,,"1,435",
Erin T,**,,**,,**,,**,,**,,15,
Essex T,**,,**,,**,,**,,**,,278,
Gravenhurst T,1.3,d ,**,,"1,117",a ,"1,034",b ,6.8,b ,273,
Greater Napanee T,**,,**,,888,b ,806,b ,++,,600,
Greater Sudbury / Grand Sudbury,2.1,b ,**,,"1,145",a ,"1,100",a ,**,,"13,094",
Guelph,1.4,a ,**,,"1,466",a ,"1,431",a ,5.9,a ,"8,488",
Haldimand County CY,**,,**,,989,a ,925,a ,-10.7,a ,462,
Hamilton,1.9,a ,**,,"1,334",a ,"1,239",a ,5.4,a ,"47,676",
Hawkesbury,**,,**,,743,b ,725,b ,-5.2,d ,730,
Huntsville T,0.0,d ,**,,"1,116",a ,"1,098",b ,++,,371,
Ingersoll,2.8,c ,**,,"1,240",b ,"1,295",b ,**,,259,
Kawartha Lakes,1.5,c ,**,,"1,184",b ,"1,130",b ,**,,"1,496",
Kenora,4.9,d ,**,,886,b ,900,b ,3.9,d ,361,
Kincardine MU,0.0,d ,**,,"1,323",b ,"1,300",d ,14.6,d ,376,
Kingston,1.2,a ,**,,"1,388",a ,"1,311",a ,4.8,b ,"15,206",
Kitchener - Cambridge - Waterloo,1.2,a ,**,,"1,390",a ,"1,327",a ,7.2,b ,"40,038",
Lambton Shores MU,4.6,b ,**,,"1,291",b ,"1,450",b ,**,,140,
Leamington,2.0,b ,**,,"1,015",a ,955,a ,3.3,d ,"1,467",
London,1.6,a ,**,,"1,299",a ,"1,238",a ,6.0,a ,"52,010",
Meaford MU,1.5,c ,**,,"1,003",a ,988,a ,4.4,d ,260,
Midland,2.1,b ,**,,"1,345",d ,"1,050",d ,**,,"1,156",
Norfolk,3.4,d ,**,,996,b ,916,c ,**,,962,
North Bay,2.6,c ,**,,"1,085",a ,"1,019",a ,**,,"3,581",
